"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"41843-9648","PF","Jeff","Jeff Green","Green","13.381481029369214","27","3500","UTA@ATL","UTA","ATL","","","","",""
"41843-80823","C","Tony","Tony Bradley","Bradley","10.116667005750868","18","3500","UTA@ATL","UTA","ATL","","","","",""
"41843-58295","PF","D.J.","D.J. Wilson","Wilson","8.62142835344587","14","3500","LAL@MIL","MIL","LAL","","","","",""
"41843-49336","SG","DeAndre'","DeAndre' Bembry","Bembry","18.618518970630788","27","3500","UTA@ATL","ATL","UTA","","","","",""
"41843-80825","PF","Isaiah","Isaiah Hartenstein","Hartenstein","9.411110772026909","9","3500","HOU@LAC","HOU","LAC","","","","",""
"41843-66236","PF","John","John Collins","Collins","37.560000610351565","5","3500","UTA@ATL","ATL","UTA","O","Suspension","","",""
"41843-84677","PG","Jerome","Jerome Robinson","Robinson","8.045833587646484","24","3500","HOU@LAC","LAC","HOU","","","","",""
"41843-14537","SF","Chandler","Chandler Parsons","Parsons","8.550000190734863","4","3500","UTA@ATL","ATL","UTA","","","","",""
"41843-9677","SF","Jared","Jared Dudley","Dudley","5.178947448730469","19","3500","LAL@MIL","LAL","MIL","","","","",""
"41843-101331","PF","Gary","Gary Clark","Clark","9.483333587646484","12","3500","HOU@LAC","HOU","LAC","","","","",""
"41843-49114","PG","Frank","Frank Mason","Mason","4.399999936421712","3","3500","LAL@MIL","MIL","LAL","","","","",""
"41843-84701","C","Chimezie","Chimezie Metu","Metu","6.366666793823242","6","3500","BKN@SA","SA","BKN","","","","",""
"41843-84700","PF","Rodions","Rodions Kurucs","Kurucs","6.450000127156575","12","3500","BKN@SA","BKN","SA","","","","",""
"41843-15582","PG","Quinn","Quinn Cook","Cook","8.88000030517578","20","3500","LAL@MIL","LAL","MIL","","","","",""
"41843-84702","SG","Lonnie","Lonnie Walker","Walker","8.0052634791324","19","3500","BKN@SA","SA","BKN","","","","",""
"41843-110308","SF","Jarrell","Jarrell Brantley","Brantley","5.650000095367432","2","3500","UTA@ATL","UTA","ATL","","","","",""
"41843-110315","SG","Terance","Terance Mann","Mann","6.318181818181818","22","3500","HOU@LAC","LAC","HOU","","","","",""
"41843-9715","SG","Marco","Marco Belinelli","Belinelli","9.604166666666666","24","3500","BKN@SA","SA","BKN","","","","",""
"41843-84725","PF","Kostas","Kostas Antetokounmpo","Antetokounmpo","0.6000000238418579","2","3500","LAL@MIL","LAL","MIL","","","","",""
"41843-110324","SG","Miye","Miye Oni","Oni","0.06666666766007741","3","3500","UTA@ATL","UTA","ATL","","","","",""
"41843-110327","PG","Justin","Justin Wright-Foreman","Wright-Foreman","0","0","3500","UTA@ATL","UTA","ATL","","","","",""
"41843-110329","PF","Bruno","Bruno Fernando","Fernando","9.633333559389468","27","3500","UTA@ATL","ATL","UTA","","","","",""
"41843-96763","PG","Brandon","Brandon Goodwin","Goodwin","-1","2","3500","UTA@ATL","ATL","UTA","","","","",""
