Date,Position,"LastName, FirstName",FD PTS,Salary,Team,Opp Team,Score,Min,Statline
2019-12-15,SG,"Pope, Kentavious",19.6,"4,000",lal,@ atl, 101-96,26:52,   11pt 3rb 2as 1st 1to 4-11fg 3-5ft
2019-12-15,PG,"Neto, Raul",19.1,"3,500",phi,@ bkn, 89-109,21:24,   8pt 3rb 3as 2st 3to 1trey 3-6fg 1-2ft
2019-12-15,SG,"Temple, Garrett",19,"5,300",bkn,v phi, 109-89,29:10,   13pt 4as 3trey 4-6fg 2-2ft
2019-12-15,PG,"Williams, Michael",18.4,"3,500",orl,@ nor, 130-119,19:51,   10pt 2rb 4as 2trey 4-7fg
2019-12-15,PG,"Joseph, Cory",17.9,"4,900",sac,@ gsw, 100-79,31:25,   7pt 2rb 5as 1st 2to 1trey 2-7fg 2-2ft
2019-12-15,SG,"Luwawu, Timothe",16.5,"3,500",bkn,v phi, 109-89,22:59,   8pt 5rb 1as 1st 2to 3-6fg 2-2ft
2019-12-15,SG,"Russell, D",16,"8,400",gsw,v sac, 79-100,27:13,   8pt 8as 4to 1trey 2-9fg 3-4ft
2019-12-15,SG,"Richardson, Josh",15.8,"4,800",phi,@ bkn, 89-109,24:09,   11pt 4rb 1st 3to 5-15fg 1-2ft
2019-12-15,SG,"Huerter, Kevin",15.8,"4,800",atl,v lal, 96-101,23:29,   5pt 4rb 2as 1st 1bl 3to 1trey 2-7fg
2019-12-15,SG,"Korkmaz, Furkan",15.7,"3,500",phi,@ bkn, 89-109,14:34,   4pt 1rb 1as 2st 1bl 2-6fg
2019-12-15,SG,"Pinson, Theo",13.1,"3,600",bkn,v phi, 109-89,18:17,   6pt 3rb 1as 1st 1to 1trey 2-5fg 1-1ft
2019-12-15,PG,"Rozier, Terry",11.9,"7,400",cha,@ ind, 85-107,25:16,   3pt 2rb 3as 1st 1to 1-12fg 1-2ft
2019-12-15,SG,"Poole, Jordan",11.5,"3,700",gsw,v sac, 79-100,16:18,   5pt 1as 2st 1to 1trey 1-7fg 2-2ft
2019-12-15,SG,"Bradley, Avery",10.5,"3,900",lal,@ atl, 101-96,23:56,   3pt 1as 3st 3to 1-6fg 1-2ft
2019-12-15,SG,"Barrett, RJ",10.1,"6,000",nyk,@ den, 105-111,35:46,   7pt 3rb 1as 2to 1trey 3-12fg
2019-12-15,SG,"III, Jacob",9.5,"3,500",gsw,v sac, 79-100,19:33,   7pt 1as 1bl 2to 1trey 2-3fg 2-2ft
2019-12-15,SG,"Nwaba, David",9.4,"3,700",bkn,v phi, 109-89,14:27,   6pt 2rb 1st 2to 2-5fg 2-2ft
2019-12-15,PG,"Caruso, Alex",8.9,"3,900",lal,@ atl, 101-96,15:10,   2pt 2rb 1as 1st 0-2fg 2-2ft
2019-12-15,SG,"Crabbe, Allen",8.9,"3,700",atl,v lal, 96-101,18:14,   3pt 2rb 1as 1st 1to 1trey 1-5fg
2019-12-15,PG,"Morris, Monte",6.7,"4,200",den,v nyk, 111-105,15:23,   2pt 1rb 3as 1to 1-6fg
2019-12-15,PG,"Burke, Trey",6.4,"3,500",phi,@ bkn, 89-109,6:27,   5pt 2rb 1to 1trey 2-5fg
2019-12-15,SG,"Craig, Torrey",6.2,"3,500",den,v nyk, 111-105,11:49,   5pt 1rb 1trey 2-3fg
2019-12-15,PG,"Ferrell, Yogi",5.3,"3,500",sac,@ gsw, 100-79,10:14,   1pt 4rb 1as 2to 0-1fg 1-1ft
2019-12-15,PG,"Sumner, Edmond",3.5,"3,500",ind,v cha, 107-85,3:04,   3pt 1as 1to 1trey 1-3fg
2019-12-15,PG,"Jackson, Frank",1,"3,600",nor,v orl, 119-130,8:16,   2pt 1to 1-2fg
2019-12-15,SG,"Bacon, Dwayne",0,"3,500",cha,@ ind, 85-107,3:47,   0pt
2019-12-15,SG,"Dotson, Damyean",0,"3,500",nyk,@ den, 105-111,6:53,   0pt 0-1fg
2019-12-15,SG,"James, Justin",0,"3,500",sac,@ gsw, 100-79,2:44,   0pt
2019-12-15,PG,"Cook, Quinn",0,"3,500",lal,@ atl, 101-96,0,   
2019-12-15,SG,"Walker, Nickeil",0,"3,500",nor,v orl, 119-130,0,   
2019-12-15,SG,"Dozier, PJ",0,"3,500",den,v nyk, 111-105,0,   
2019-12-15,SG,"Beasley, Malik",0,"3,500",den,v nyk, 111-105,0,   
2019-12-15,SG,"Turner, Evan",0,"3,600",atl,v lal, 96-101,0,   
2019-12-15,SG,"Allen, Kadeem",0,"3,500",nyk,@ den, 105-111,0,   
2019-12-15,SG,"Daniels, Troy",0,"3,500",lal,@ atl, 101-96,0,   
2019-12-15,PG,"Jr, Dennis",0,"3,500",nyk,@ den, 105-111,0,   
2019-12-15,SG,"Bembry, DeAndre",0,"3,600",atl,v lal, 96-101,0,   
2019-12-15,PG,"Irving, Kyrie",0,"9,700",bkn,v phi, 109-89,0,   
2019-12-15,SG,"LeVert, Caris",0,"6,000",bkn,v phi, 109-89,0,   
2019-12-15,PG,"Curry, Stephen",0,"3,500",gsw,v sac, 79-100,0,   
2019-12-15,SG,"Trier, Allonzo",0,"3,500",nyk,@ den, 105-111,0,   
2019-12-15,SG,"II, Brian",0,"3,500",ind,v cha, 107-85,0,   
2019-12-15,PG,"Milton, Shake",0,"3,600",phi,@ bkn, 89-109,0,   
2019-12-15,SG,"Tucker, Talen",0,"3,500",lal,@ atl, 101-96,0,   
2019-12-15,SG,"Bullock, Reggie",0,"3,900",nyk,@ den, 105-111,0,   
2019-12-15,PG,"Magette, Josh",0,"3,500",orl,@ nor, 130-119,0,   
2019-12-15,SG,"Guy, Kyle",0,"3,500",sac,@ gsw, 100-79,0,   
2019-12-15,PG,"Bowman, Ky",0,"3,600",gsw,v sac, 79-100,0,   
2019-12-15,SG,"Oladipo, Victor",0,"7,800",ind,v cha, 107-85,0,   
2019-12-15,SG,"Brown, Charlie",0,"3,500",atl,v lal, 96-101,0,   
2019-12-15,PG,"Fox, De",0,"7,700",sac,@ gsw, 100-79,0,   
2019-12-15,PG,"Goodwin, Brandon",0,"3,500",atl,v lal, 96-101,0,   
2019-12-15,PG,"Gray, Josh",0,"3,500",nor,v orl, 119-130,0,   
2019-12-15,SG,"Long, Nazareth",0,"3,600",ind,v cha, 107-85,0,   
2019-12-15,PG,"Simmons, Kobi",0,"3,500",cha,@ ind, 85-107,0,   
2019-12-15,SG,"Shayok, Marial",0,"3,500",phi,@ bkn, 89-109,0,   
2019-12-15,SG,"Smith, Zhaire",0,"3,500",phi,@ bkn, 89-109,0,   
2019-12-15,SG,"Ellington, Wayne",0,"3,500",nyk,@ den, 105-111,0,   
2019-12-15,SF,"James, LeBron",66.1,"10,900",lal,@ atl, 101-96,36:56,   32pt 13rb 7as 1st 3bl 4to 4trey 12-21fg 4-7ft
2019-12-15,PF,"Davis, Anthony",51.1,"11,300",lal,@ atl, 101-96,35:28,   27pt 13rb 3as 1st 2bl 5to 11-23fg 5-7ft
2019-12-15,SF,"Isaac, Jonathan",46.7,"7,000",orl,@ nor, 130-119,32:45,   21pt 11rb 3as 2st 1bl 1to 1trey 7-11fg 6-7ft
2019-12-15,SF,"Barton, Will",39.8,"6,600",den,v nyk, 111-105,34:48,   16pt 9rb 4as 2st 1bl 2to 2trey 7-16fg
2019-12-15,PF,"Horford, Al",39.3,"7,300",phi,@ bkn, 89-109,27:16,   10pt 9rb 5as 1st 3bl 1to 5-15fg
2019-12-15,SF,"Ingram, Brandon",37.2,"8,500",nor,v orl, 119-130,26:54,   21pt 6rb 6as 1st 3to 3trey 9-16fg 0-1ft
2019-12-15,PF,"Randle, Julius",35.8,"6,900",nyk,@ den, 105-111,36:20,   20pt 9rb 2as 1st 1to 1trey 8-19fg 3-3ft
2019-12-15,PF,"Sabonis, Domantas",32.4,"8,900",ind,v cha, 107-85,34:04,   12pt 12rb 4as 5-10fg 2-2ft
2019-12-15,SF,"Harris, Tobias",30.7,"8,200",phi,@ bkn, 89-109,32:36,   17pt 6rb 3as 2bl 4to 8-17fg 1-1ft
2019-12-15,SF,"Barnes, Harrison",28.5,"5,900",sac,@ gsw, 100-79,33:50,   15pt 5rb 3as 1st 1trey 5-11fg 4-4ft
2019-12-15,SF,"Morris, Marcus",28,"5,400",nyk,@ den, 105-111,34:49,   22pt 5rb 1st 3to 3trey 8-18fg 3-4ft
2019-12-15,PF,"Bagley, Marvin",25.2,"7,000",sac,@ gsw, 100-79,22:06,   17pt 6rb 2as 2to 1trey 7-13fg 2-3ft
2019-12-15,PF,"Parker, Jabari",24.5,"6,100",atl,v lal, 96-101,26:47,   12pt 5rb 1as 1st 1bl 1to 2trey 4-10fg 2-2ft
2019-12-15,SF,"Williams, Kenrich",24.2,"4,000",nor,v orl, 119-130,23:16,   3pt 6rb 4as 3bl 1to 1trey 1-4fg 0-2ft
2019-12-15,SF,"Prince, Taurean",24.2,"6,000",bkn,v phi, 109-89,25:01,   8pt 6rb 4as 2st 3to 4-12fg
2019-12-15,PF,"Porter, Michael",23.6,"3,500",den,v nyk, 111-105,10:56,   9pt 8rb 2as 1bl 1to 4-8fg 1-1ft
2019-12-15,SF,"Ariza, Trevor",20.6,"4,400",sac,@ gsw, 100-79,26:24,   5pt 3rb 2as 1st 3bl 3to 1trey 2-2fg
2019-12-15,SF,"Hunter, De",20.2,"5,200",atl,v lal, 96-101,36:50,   8pt 6rb 2as 1st 1bl 4to 2trey 2-10fg 2-2ft
2019-12-15,PF,"Holmes, Richaun",19.5,"7,100",sac,@ gsw, 100-79,25:54,   9pt 5rb 1as 2st 1bl 6to 4-5fg 1-2ft
2019-12-15,SF,"Chandler, Wilson",19.4,"3,500",bkn,v phi, 109-89,18:41,   2pt 7rb 2as 1st 1bl 1-1fg
2019-12-15,PF,"Allen, Jarrett",19.1,"7,100",bkn,v phi, 109-89,21:59,   8pt 8rb 1as 3-9fg 2-2ft
2019-12-15,SF,"Reddish, Cam",19,"4,000",atl,v lal, 96-101,29:17,   10pt 5rb 1st 1bl 3to 1trey 3-10fg 3-4ft
2019-12-15,SF,"Burks, Alec",18.9,"6,200",gsw,v sac, 79-100,22:03,   11pt 2rb 3as 2st 5to 1trey 3-8fg 4-6ft
2019-12-15,SF,"Harris, Joe",18.9,"5,200",bkn,v phi, 109-89,24:50,   16pt 2rb 1as 1to 2trey 7-11fg
2019-12-15,SF,"Holiday, Justin",18.9,"3,800",ind,v cha, 107-85,21:49,   9pt 2rb 1as 2st 1trey 4-8fg
2019-12-15,PF,"Grant, Jerami",18.4,"4,400",den,v nyk, 111-105,26:41,   11pt 2rb 1st 1bl 1to 1trey 4-6fg 2-2ft
2019-12-15,PF,"Gordon, Aaron",17.8,"6,900",orl,@ nor, 130-119,33:12,   9pt 4rb 2as 1st 2to 1trey 3-13fg 2-4ft
2019-12-15,PF,"Favors, Derrick",16.5,"6,600",nor,v orl, 119-130,19:30,   2pt 5rb 3as 1st 1bl 2to 1-3fg
2019-12-15,SF,"Knox, Kevin",16.3,"3,500",nyk,@ den, 105-111,22:01,   10pt 4rb 1as 5-8fg
2019-12-15,SF,"Bridges, Miles",15.3,"5,600",cha,@ ind, 85-107,34:59,   10pt 4rb 1as 1to 1trey 4-12fg 1-1ft
2019-12-15,PF,"Green, Draymond",14.9,"7,200",gsw,v sac, 79-100,26:10,   7pt 2rb 3as 1st 2to 1trey 3-7fg
2019-12-15,PF,"Gibson, Taj",14.6,"3,500",nyk,@ den, 105-111,16:10,   6pt 3rb 1st 1bl 1to 3-6fg
2019-12-15,SF,"Carter, Vince",14.2,"3,700",atl,v lal, 96-101,21:00,   7pt 1rb 2as 1st 1trey 3-10fg
2019-12-15,SF,"Warren, TJ",13.8,"5,400",ind,v cha, 107-85,26:18,   6pt 4rb 2as 2-8fg 2-2ft
2019-12-15,SF,"Ennis, James",12.6,"3,500",phi,@ bkn, 89-109,19:33,   3pt 3rb 2as 1bl 1trey 1-4fg
2019-12-15,PF,"Bjelica, Nemanja",12.6,"6,700",sac,@ gsw, 100-79,22:39,   2pt 3rb 4as 1st 2to 1-2fg
2019-12-15,SF,"McDermott, Doug",12.5,"3,700",ind,v cha, 107-85,21:47,   6pt 5rb 1as 1to 2trey 2-4fg
2019-12-15,SF,"Thybulle, Matisse",11,"4,500",phi,@ bkn, 89-109,18:48,   0pt 2as 2st 1bl 1to 0-1fg 0-2ft
2019-12-15,PF,"Pelle, Norvel",10.8,"3,700",phi,@ bkn, 89-109,20:44,   2pt 4rb 2bl 2to 1-1fg
2019-12-15,SF,"III, Glenn",10.6,"4,500",gsw,v sac, 79-100,24:23,   7pt 3rb 1trey 3-6fg
2019-12-15,PF,"Spellman, Omari",10.4,"3,700",gsw,v sac, 79-100,18:16,   5pt 2rb 1st 2-4fg 1-2ft
2019-12-15,PF,"Scott, Mike",9.2,"3,700",phi,@ bkn, 89-109,20:49,   8pt 1rb 2trey 3-5fg
2019-12-15,PF,"Kurucs, Rodions",8.6,"3,500",bkn,v phi, 109-89,4:18,   3pt 3rb 1st 1to 1trey 1-2fg
2019-12-15,PF,"Chriss, Marquese",8.2,"4,500",gsw,v sac, 79-100,10:35,   2pt 6rb 1to 1-4fg
2019-12-15,PF,"Fernando, Bruno",5.6,"3,500",atl,v lal, 96-101,3:24,   2pt 3rb 2-2ft
2019-12-15,SF,"Gilchrist, Michael",5.1,"3,500",cha,@ ind, 85-107,17:41,   1pt 3rb 1as 1to 0-6fg 1-2ft
2019-12-15,PF,"Ellenson, Henry",4.4,"3,500",bkn,v phi, 109-89,4:18,   2pt 2rb 1-4fg
2019-12-15,SF,"Dudley, Jared",3,"3,500",lal,@ atl, 101-96,16:48,   0pt 1st
2019-12-15,PF,"McDaniels, Jalen",2,"3,500",cha,@ ind, 85-107,3:47,   2pt 1-3fg
2019-12-15,SF,"Martin, Caleb",2,"3,500",cha,@ ind, 85-107,3:47,   2pt 2-2ft
2019-12-15,SF,"Musa, Dzanan",1.4,"4,000",bkn,v phi, 109-89,4:34,   0pt 2rb 1to 0-3fg
2019-12-15,PF,"Leaf, TJ",1.2,"3,500",ind,v cha, 107-85,3:04,   0pt 1rb
2019-12-15,PF,"Johnson, Alize",1.2,"3,500",ind,v cha, 107-85,2:22,   0pt 1rb
2019-12-15,PF,"Swanigan, Caleb",0.2,"3,500",sac,@ gsw, 100-79,1:57,   0pt 1rb 1to
2019-12-15,PF,"Antetokounmpo, Kostas",0,"3,500",lal,@ atl, 101-96,0,   
2019-12-15,SF,"Hernangomez, Juan",0,"3,500",den,v nyk, 111-105,0,   
2019-12-15,SF,"Frazier, Melvin",0,"3,500",orl,@ nor, 130-119,0,   
2019-12-15,SF,"Moore, E",0,"3,600",nor,v orl, 119-130,0,   
2019-12-15,PF,"Giles, Harry",0,"3,500",sac,@ gsw, 100-79,0,   
2019-12-15,SF,"Vanderbilt, Jarred",0,"3,500",den,v nyk, 111-105,0,   
2019-12-15,SF,"Parsons, Chandler",0,"3,500",atl,v lal, 96-101,0,   
2019-12-15,SF,"Iwundu, Wes",0,"3,500",orl,@ nor, 130-119,0,   
2019-12-15,PF,"Washington, PJ",0,"5,900",cha,@ ind, 85-107,0,   
